  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -10.000  -1.0809   0.01498   0.00533  -0.0053   1.0000   0.0255   1.0000  94.3849
  -9.500  -1.0363   0.01427   0.00488  -0.0034   1.0000   0.0278   1.0000  94.8887
  -9.000  -0.9948   0.01341   0.00434  -0.0010   1.0000   0.0307   1.0000  95.4828
  -8.500  -0.9512   0.01283   0.00397   0.0013   1.0000   0.0334   1.0000  96.0207
  -8.000  -0.9100   0.01211   0.00355   0.0040   1.0000   0.0381   1.0000  96.8258
  -7.500  -0.8685   0.01149   0.00319   0.0067   1.0000   0.0436   1.0000  97.6651
  -7.000  -0.8266   0.01094   0.00289   0.0093   1.0000   0.0506   1.0000  98.6233
  -6.500  -0.7637   0.01037   0.00257   0.0074   0.9976   0.0619   1.2914  99.9461
  -6.000  -0.6948   0.00973   0.00223   0.0043   0.9940   0.0813   1.7233 101.7963
  -5.500  -0.6254   0.00913   0.00194   0.0011   0.9904   0.1087   2.1129 103.9927
  -5.000  -0.5580   0.00848   0.00165  -0.0017   0.9849   0.1486   2.6032 106.8154
  -4.500  -0.4878   0.00785   0.00139  -0.0051   0.9804   0.1991   2.9979 110.1541
  -4.000  -0.4278   0.00728   0.00118  -0.0060   0.9685   0.2537   3.9090 113.6325
  -3.500  -0.3723   0.00681   0.00101  -0.0058   0.9517   0.3088   5.0644 117.0712
  -3.000  -0.3199   0.00639   0.00087  -0.0049   0.9285   0.3642   6.5410 120.4798
  -2.500  -0.2672   0.00606   0.00074  -0.0039   0.9011   0.4197   8.2207 123.8651
  -2.000  -0.2142   0.00580   0.00064  -0.0030   0.8676   0.4743  10.2390 127.1707
  -1.500  -0.1609   0.00561   0.00056  -0.0022   0.8283   0.5287  12.5953 130.4526
  -1.000  -0.1074   0.00549   0.00050  -0.0014   0.7848   0.5826  15.2035 133.6904
  -0.500  -0.0537   0.00542   0.00047  -0.0007   0.7372   0.6355  18.0512 136.8631
   0.000   0.0000   0.00540   0.00046  -0.0000   0.6870   0.6870  21.0518 139.9482
   0.000   0.0000   0.00540   0.00046  -0.0000   0.6870   0.6870  21.0518 139.9482
   0.500   0.0537   0.00542   0.00047   0.0007   0.6355   0.7372  24.1370 142.9488
   1.000   0.1074   0.00549   0.00050   0.0014   0.5826   0.7848  27.3095 145.7967
   1.500   0.1609   0.00561   0.00056   0.0022   0.5287   0.8283  30.5478 148.4048
   2.000   0.2142   0.00580   0.00064   0.0030   0.4743   0.8676  33.8294 150.7611
   2.500   0.2672   0.00606   0.00075   0.0039   0.4197   0.9011  37.1351 152.7792
   3.000   0.3200   0.00639   0.00087   0.0048   0.3642   0.9285  40.5205 154.4589
   3.500   0.3723   0.00681   0.00101   0.0058   0.3088   0.9517  43.9291 155.9358
   4.000   0.4278   0.00728   0.00118   0.0060   0.2537   0.9685  47.3679 157.0914
   4.500   0.4878   0.00785   0.00139   0.0051   0.1991   0.9804  50.8465 158.0028
   5.000   0.5580   0.00848   0.00165   0.0017   0.1486   0.9849  54.1851 158.3984
   5.500   0.6254   0.00912   0.00194  -0.0011   0.1087   0.9904  57.0074 158.8899
   6.000   0.6948   0.00973   0.00224  -0.0043   0.0813   0.9940  59.2043 159.2791
   6.500   0.7638   0.01036   0.00257  -0.0074   0.0619   0.9976  61.0543 159.7111
   7.000   0.8264   0.01094   0.00289  -0.0092   0.0506   1.0000  62.3751 160.0000
   7.500   0.8684   0.01149   0.00320  -0.0066   0.0436   1.0000  63.3337 160.0000
   8.000   0.9099   0.01211   0.00356  -0.0039   0.0381   1.0000  64.1734 160.0000
   8.500   0.9511   0.01282   0.00397  -0.0013   0.0334   1.0000  64.9783 160.0000
   9.000   0.9948   0.01341   0.00434   0.0010   0.0307   1.0000  65.5168 160.0000
   9.500   1.0363   0.01427   0.00488   0.0034   0.0278   1.0000  66.1113 160.0000
  10.000   1.0809   0.01498   0.00533   0.0053   0.0255   1.0000  66.6153 160.0000
  10.500   1.1224   0.01607   0.00605   0.0074   0.0235   1.0000  67.0899 160.0000
  11.000   1.1666   0.01694   0.00663   0.0091   0.0220   1.0000  67.4710 160.0000
  11.500   1.2067   0.01813   0.00740   0.0111   0.0205   1.0000  67.8761 160.0000
  12.000   1.2454   0.01936   0.00825   0.0133   0.0194   1.0000  68.1978 160.0000
  12.500   1.2834   0.02054   0.00904   0.0155   0.0183   1.0000  68.4991 160.0000
  13.000   1.3161   0.02195   0.00997   0.0182   0.0174   1.0000  68.7668 160.0000
  13.500   1.3272   0.02429   0.01152   0.0236   0.0166   1.0000  69.0177 160.0000
  14.000   1.3501   0.02611   0.01279   0.0267   0.0162   1.0000  69.1662 160.0000
  14.500   1.3672   0.02857   0.01454   0.0294   0.0156   1.0000  69.3443 160.0000
  15.000   1.3808   0.03169   0.01679   0.0310   0.0151   1.0000  69.5225 160.0000
